epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4315643608570099,9.999999747378752e-06,1.562751054763794,0.5461094975471497,1.2476071119308472
1,0.5065085291862488,9.999999747378752e-06,1.3472076654434204,0.5896974205970764,1.1441110372543335
2,0.5392436385154724,9.999999747378752e-06,1.2494858503341675,0.6177954077720642,1.0681647062301636
3,0.5680505037307739,9.999999747378752e-06,1.1920331716537476,0.6350864768028259,1.0240248441696167
4,0.5928521752357483,9.999999747378752e-06,1.1426281929016113,0.6530979871749878,0.9782313108444214
5,0.5959331393241882,9.999999747378752e-06,1.1066690683364868,0.6757925152778625,0.9314005374908447
6,0.6227374076843262,9.999999747378752e-06,1.0589525699615479,0.6793948411941528,0.8977214097976685
7,0.6402988433837891,9.999999747378752e-06,1.0160239934921265,0.693443775177002,0.8627739548683167
8,0.6453824043273926,9.999999747378752e-06,0.9954675436019897,0.7035302519798279,0.8389458060264587
9,0.6585534811019897,9.999999747378752e-06,0.9747797250747681,0.7168588042259216,0.8017802238464355
10,0.6666409969329834,9.999999747378752e-06,0.9438380599021912,0.7182996869087219,0.7885368466377258
11,0.6770392060279846,9.999999747378752e-06,0.9211335182189941,0.7262247800827026,0.7758994698524475
12,0.681275486946106,9.999999747378752e-06,0.9033817648887634,0.7204610705375671,0.7813864946365356
13,0.6894400119781494,9.999999747378752e-06,0.8652023077011108,0.7420749068260193,0.7357416152954102
14,0.6968343257904053,9.999999747378752e-06,0.8595532178878784,0.7388328313827515,0.7246835827827454
15,0.699376106262207,9.999999747378752e-06,0.8474647998809814,0.7395533323287964,0.7357986569404602
16,0.6992220878601074,9.999999747378752e-06,0.8443120121955872,0.7579250931739807,0.6895618438720703
17,0.7090811133384705,9.999999747378752e-06,0.816490888595581,0.7604466676712036,0.6828568577766418
18,0.7173996567726135,9.999999747378752e-06,0.802336573600769,0.7597262263298035,0.6721142530441284
19,0.7167064547538757,9.999999747378752e-06,0.7955007553100586,0.7622478604316711,0.6575204730033875
