epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7834860682487488,4.999999873689376e-06,0.5943960547447205,0.8141210079193115,0.5174673795700073
1,0.7760148048400879,4.999999873689376e-06,0.5947548151016235,0.8206051588058472,0.5063691139221191
2,0.7774782180786133,4.999999873689376e-06,0.6033083200454712,0.8224063515663147,0.49583497643470764
3,0.7774782180786133,4.999999873689376e-06,0.5929441452026367,0.815922200679779,0.5063096284866333
4,0.7810983657836914,4.999999873689376e-06,0.5790751576423645,0.8216858506202698,0.4996364414691925
5,0.7810983657836914,4.999999873689376e-06,0.5819963216781616,0.8252881765365601,0.4914202094078064
6,0.7781714797019958,4.999999873689376e-06,0.5823579430580139,0.8267291188240051,0.4901421070098877
7,0.7860279083251953,4.999999873689376e-06,0.5729402303695679,0.8306916356086731,0.4893687665462494
8,0.7879534959793091,4.999999873689376e-06,0.5579749941825867,0.8303313851356506,0.4880834221839905
9,0.7874913215637207,4.999999873689376e-06,0.5662913918495178,0.829971194267273,0.48947763442993164
10,0.7887237071990967,4.999999873689376e-06,0.5669932961463928,0.8321325778961182,0.47923046350479126
11,0.7867211103439331,4.999999873689376e-06,0.5498711466789246,0.8357348442077637,0.47374722361564636
12,0.7911114692687988,4.999999873689376e-06,0.5633370876312256,0.8342939615249634,0.47897589206695557
13,0.7936532497406006,4.999999873689376e-06,0.5557588934898376,0.8317723274230957,0.4744224548339844
14,0.7905722856521606,4.999999873689376e-06,0.5574469566345215,0.8382564783096313,0.4723581075668335
15,0.7896479964256287,4.999999873689376e-06,0.5469778776168823,0.8364553451538086,0.4700593948364258
16,0.7924208641052246,4.999999873689376e-06,0.5446199178695679,0.840778112411499,0.4695981740951538
17,0.8015866875648499,4.999999873689376e-06,0.5262823700904846,0.8328530192375183,0.48357999324798584
18,0.7939613461494446,4.999999873689376e-06,0.5369575619697571,0.8386167287826538,0.4725797772407532
19,0.7930370569229126,4.999999873689376e-06,0.5410310626029968,0.8389769196510315,0.47022688388824463
