epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3511514961719513,0.0010000000474974513,4.421257019042969,0.48090776801109314,2.0073678493499756
1,0.412616491317749,0.0010000000474974513,3.0402302742004395,0.5720461010932922,1.3259966373443604
2,0.4373411238193512,0.0010000000474974513,1.9769850969314575,0.5868155360221863,1.176815390586853
3,0.46183469891548157,0.0010000000474974513,1.6223300695419312,0.5421469807624817,1.2243777513504028
4,0.4651467204093933,0.0010000000474974513,1.5953551530838013,0.5886167287826538,1.166006088256836
5,0.47947314381599426,0.0010000000474974513,1.5988316535949707,0.5324207544326782,1.2622923851013184
6,0.46915197372436523,0.0010000000474974513,1.6428183317184448,0.5630403161048889,1.2278428077697754
7,0.46892088651657104,0.0010000000474974513,1.689157247543335,0.5536743402481079,1.3005104064941406
8,0.5082030296325684,0.0003000000142492354,1.428829312324524,0.5925792455673218,1.123926043510437
9,0.5163675546646118,0.0003000000142492354,1.3468923568725586,0.5670028924942017,1.157106637954712
10,0.5247631669044495,0.0003000000142492354,1.3043054342269897,0.6271613836288452,1.0401242971420288
11,0.5340059995651245,0.0003000000142492354,1.3013026714324951,0.6008645296096802,1.0959292650222778
12,0.5371639728546143,0.0003000000142492354,1.2796708345413208,0.5940201878547668,1.1105515956878662
13,0.5347762703895569,0.0003000000142492354,1.2893033027648926,0.6123919486999512,1.0799269676208496
14,0.5576522946357727,9.000000136438757e-05,1.2221806049346924,0.6019452214241028,1.072056770324707
